iso_country,sum_di,domestic,international,domestic_ratio,sum_dn,day,night,day_ratio,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,min_month_flights_origin,max_month_flights_origin,min_month_flights_destination,max_month_flights_destination,long,medium,short,long_ratio,short_ratio,latitude_deg,longitude_deg,elevation_m,STATION,LATITUDE,LONGITUDE,ELEVATION,airport_station_distance,AVG_TEMP,AVG_VISIB,AVG_WDSP,AVG_MAX,AVG_MIN,AVG_PRCP
AE,296746,64374,232372,14.573365085393148,532799,270277,262522,17.01870045398858,53959,43584,42184,37576,34251,41048,45504,47112,45727,49243,46617,45994,14188,28969,15300,28306,112648,81540,102558,2.976238762059816,16.16715117791177,568.9777498979261,1248.8283674394368,610.5144000000001,947799099977,567.0913499999999,1245.594748,780.5500000000002,557.6228006114083,644.657316444885,200.89024893327525,174.2176512236864,790.1693488733325,521.9505024206138,2.7012347486402217
AL,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.30989855440001,39.3193001282,45.4152,27215199998,83.514742,39.2538943,81.4,23.41047612890137,33.1138508371385,23.9029863013699,9.52794520547944,45.9380517503805,21.36484018264848,3.02990684931507
AM,1480,24,1456,1.015593220338983,1800,902,898,2.001394311210262,0,0,0,0,0,0,0,0,0,0,333,1467,0,748,0,720,1,1424,55,0.0006779661016950001,1.036610169491526,161.31390380858792,177.2848014831934,4633.5696,143969399996,161.3278833,176.99203980000001,4344.04,25.514714385489146,48.71914534493152,67.6742104385095,14.384857274049132,76.37955451816711,22.476955094682978,0.7733837535014001
AR,33527,7668,25859,30.264374017877383,105454,65376,40078,36.16563406577025,11001,10140,8936,9245,6377,4682,12281,12222,10263,11470,1171,7666,453,6380,536,7103,12695,11583,9249,2.3533087269686783,31.204908890007367,-1597.5611967731,-2878.7389507257,9555.784800000003,4112596699953,-1596.5223173,-2876.2677801999994,8744.8,1253.0633892733144,805.7079123612259,556.838330317426,338.93338651124543,1095.3362598736564,549.9371174935717,106.06217367359068
AT,239666,25106,214560,32.93913347804849,299277,214840,84437,49.17321330087709,19963,20875,24721,24505,25701,27555,28421,28405,26148,27145,22842,22996,8243,15292,8447,16334,8531,36159,194976,0.092094353820321,53.94207887993348,2621.2020932540413,797.7730764169874,26070.7632,614279199945,2620.9519686999993,797.4898724999998,31488.889999999996,485.1242789636292,532.9282980492372,483.2001811216587,286.31246625382767,818.5856001599321,283.7966856900663,129.5153330206645
AU,1332975,1216134,116841,423.5340889663165,1762575,1382098,380477,375.36762509676925,149231,138479,141216,138162,142745,140217,152751,144618,148839,162103,153457,150757,52720,91699,54706,99366,118821,232682,981472,9.681186562274256,408.8578763817123,-16546.652246230948,73005.78726450777,55368.13919999994,47906412299495,-16569.83092570002,73006.59195480007,134009.55,15634.428879951754,8522.427870744663,1326.2712278831088,4001.723441041912,11625.087941850777,5063.242855016928,641.4882953416987
AW,752,18,734,0.023936170212766002,955,860,95,0.900523560209424,611,344,0,0,0,0,0,0,0,0,0,0,0,268,0,343,28,482,242,0.037234042553192,0.321808510638298,12.5014,-70.015198,18.288,78982000411,12.5,-70.017,18.3,0.250005227345132,28.3173515981735,17.4325506849315,15.979178082191801,31.7334855403348,26.101978691019802,1.06192876712329
AZ,231,6,225,0.185624012638231,333,97,236,0.734988034949079,0,0,16,0,7,89,32,92,1,96,0,0,0,47,0,66,13,206,12,0.140205371248025,0.214060031595577,121.4656982421875,149.804298400879,11.2776,113592299997,121.4025,150.14000099999998,9.120000000000001,58.24782585892456,47.79360730593599,28.794739726027473,30.6813698630136,60.30182648401831,34.6474885844751,23.93810439560439
BA,494,6,488,0.018987341772152,542,337,205,4.485756825601837,26,26,34,44,46,67,59,54,53,42,44,47,0,19,21,69,0,92,402,0.0,5.899585156142246,353.7772771454602,142.7471568260393,2538.0696000000003,112783799992,353.9655935,142.49151270000002,2538.05,85.52965444214264,105.1430646237967,92.41704892167934,29.215256440937058,154.12010776917342,52.786850674471246,12.5797256858611
BB,7912,108,7804,0.013650151668352,17099,13087,4012,0.765366395695655,0,0,1158,1750,1724,1479,1803,1706,1593,1828,2078,1980,0,895,0,1183,1117,3056,3739,0.141177957532861,0.472573306370071,13.0746,-59.4925,51.5112,78954000408,13.067,-59.483000000000004,52.1,1.33153065027536,27.6053272450533,12.518301369863,14.1,30.5281582952814,25.110197869102002,1.02536885245902
BD,3234,222,3012,0.35154141871410705,4093,2299,1794,1.188025564189581,0,0,0,0,0,0,0,0,26,1354,1250,1463,0,973,0,502,143,2654,437,0.08758752796262001,0.494617373035999,70.80594580065912,269.94127817822255,22.5552,125781299997,70.805916,269.941303,22.54,0.007247041978507,80.0302795512305,10.63036904481498,9.70235542056654,94.28243834239,68.4273524935088,10.54157466063348
BE,224566,12140,212426,28.629547614884356,302166,196278,105888,44.230245069677295,20722,19841,23211,25574,27155,27070,29171,28341,26787,27194,24069,23031,9278,15899,8010,18061,17497,53621,153448,0.8585976312310891,45.85727864924137,2536.128716294834,232.0537624062964,7294.7784,323282199950,2535.896812,231.96683509999997,7308.450000000002,518.9923468552774,544.0232076016872,368.668823052458,343.2264569271683,748.3731697983482,328.54533802273346,78.15099464196939
BG,15901,1012,14889,13.2729708388501,19012,11986,7026,26.037621701257535,4457,3049,1666,702,1117,1986,1944,1498,1132,679,443,339,133,2936,52,3239,15,10236,5650,0.016574801190686,20.989670227661147,1590.5184201702336,945.2231254924595,7894.6248000000005,573393699963,1590.5379069999997,944.4528042999999,16338.279999999995,892.9099238868462,450.5046345982849,493.55964557611816,248.8968853443029,662.0290985844334,253.38148943562322,32.72778992991797
BH,43404,1624,41780,0.7120692977436149,82251,42742,39509,2.076873554531859,7522,5779,3952,6601,6900,7024,7436,8052,6961,7832,7333,6859,1880,3947,2072,4169,6201,11768,25435,0.5521818810226791,2.074276161473377,78.2237324476318,151.7487413876953,58.216800000000006,123450299997,78.81250200000001,151.90082999999998,5.46,67.86890595797014,84.8881278538812,28.2918904109589,25.4835616438356,95.75799086758019,75.9990867579909,0.7706590909090919
