ident,iata_code,airport_name,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,country_name,state,iso_region,gps_code,local_code,municipality,tz,icao_code
00AA,,Aero B Ranch Airport,small_airport,38.704022,-101.473911,3435,NA_,US,United States,,US-KS,00AA,00AA,Leoti,,00AA
00AK,,Lowell Field,small_airport,59.94919968,-151.695999146,450,NA_,US,United States,Alaska,US-AK,00AK,00AK,Anchor Point,America/Anchorage,00AK
00AL,,Epps Airpark,small_airport,34.8647994995117,-86.7703018188477,820,NA_,US,United States,Alabama,US-AL,00AL,00AL,Harvest,America/Chicago,00AL
00AS,,Fulton Airport,small_airport,34.9428028,-97.8180194,1100,NA_,US,United States,,US-OK,00AS,00AS,Alex,,00AS
00AZ,,Cordes Airport,small_airport,34.3055992126465,-112.165000915527,3810,NA_,US,United States,Arizona,US-AZ,00AZ,00AZ,Cordes,America/Phoenix,00AZ
00CL,,Williams Ag Airport,small_airport,39.427188,-121.763427,87,NA_,US,United States,,US-CA,00CL,00CL,Biggs,,00CL
00FA,,Grass Patch Airport,small_airport,28.6455001831055,-82.2190017700195,53,NA_,US,United States,Florida,US-FL,00FA,00FA,Bushnell,America/New_York,00FA
00FL,,River Oak Airport,small_airport,27.230899810791,-80.9692001342773,35,NA_,US,United States,Florida,US-FL,00FL,00FL,Okeechobee,America/New_York,00FL
00GA,,Lt World Airport,small_airport,33.7675018310547,-84.0682983398438,700,NA_,US,United States,Georgia,US-GA,00GA,00GA,Lithonia,America/New_York,00GA
00ID,,Delta Shores Airport,small_airport,48.1453018188477,-116.213996887207,2064,NA_,US,United States,Idaho,US-ID,00ID,00ID,Clark Fork,America/Los_Angeles,00ID
00IG,,Goltl Airport,small_airport,39.724028,-101.395994,3359,NA_,US,United States,,US-KS,00IG,00IG,McDonald,,00IG
00IL,,Hammer Airport,small_airport,41.978401184082,-89.5604019165039,840,NA_,US,United States,Illinois,US-IL,00IL,00IL,Polo,America/Chicago,00IL
00IS,,Hayenga's Cant Find Farms Airport,small_airport,40.0256004333496,-89.1229019165039,820,NA_,US,United States,Illinois,US-IL,00IS,00IS,Kings,America/Chicago,00IS
00KS,,Hayden Farm Airport,small_airport,38.7277984619141,-94.9304962158203,1100,NA_,US,United States,Kansas,US-KS,00KS,00KS,Gardner,America/Chicago,00KS
00KY,,Robbins Roost Airport,small_airport,37.4094009399414,-84.6196975708008,1265,NA_,US,United States,Kentucky,US-KY,00KY,00KY,Stanford,America/New_York,00KY
00MD,,Slater Field,small_airport,38.7570991516113,-75.7537994384766,45,NA_,US,United States,Maryland,US-MD,00MD,00MD,Federalsburg,America/New_York,00MD
00MN,,Battle Lake Municipal Airport,small_airport,46.2999992370605,-95.7003021240234,1365,NA_,US,United States,Minnesota,US-MN,00MN,00MN,Battle Lake,America/Chicago,00MN
00MO,,Cooper Flying Service Airport,small_airport,37.202800750732,-94.412399291992,970,NA_,US,United States,Missouri,US-MO,00MO,00MO,Alba,America/Chicago,00MO
00NC,,North Raleigh Airport,small_airport,36.0852012634277,-78.3713989257813,348,NA_,US,United States,North Carolina,US-NC,00NC,00NC,Louisburg,America/New_York,00NC
