icao_code,Cluster(n=4),2019_sum_dn,2020_sum_dn,airport_change_rate
00AA,3,1,0,-1.0
00AK,3,279,72,-0.7419354838709677
00AL,3,343,403,0.1749271137026239
00AS,3,22,18,-0.18181818181818182
00AZ,3,878,1265,0.4407744874715262
00CL,3,251,550,1.1912350597609562
00FA,3,237,326,0.3755274261603376
00FL,3,37,516,12.945945945945946
00GA,3,933,184,-0.8027867095391211
00ID,3,40,52,0.3
00IG,3,5,0,-1.0
00IL,3,140,127,-0.09285714285714286
00IS,3,186,71,-0.6182795698924731
00KS,3,1149,1348,0.1731940818102698
00MD,3,80,223,1.7875
00MN,3,3,0,-1.0
00MO,3,21,14,-0.3333333333333333
00NC,3,479,547,0.1419624217118998
00NY,3,438,218,-0.502283105022831
00OH,3,13,154,10.846153846153847
00PN,3,49,32,-0.3469387755102041
00SC,3,22,43,0.9545454545454546
00TS,3,312,221,-0.2916666666666667
00VA,3,567,478,-0.15696649029982362
00VI,3,7,31,3.4285714285714284
00WA,3,413,1008,1.4406779661016949
00WI,3,414,415,0.0024154589371980675
00WN,3,2,0,-1.0
00XS,3,9,0,-1.0
01AL,3,911,72,-0.9209659714599341
01CL,3,393,499,0.2697201017811705
01FA,3,7294,4237,-0.4191115985741706
01FL,3,7292,4622,-0.366154690071311
01IA,3,322,803,1.4937888198757765
01II,3,100,651,5.51
01IS,3,151,28,-0.8145695364238411
01KS,3,12,11,-0.08333333333333333
01LL,3,492,380,-0.22764227642276422
01MT,3,2,6,2.0
01NC,3,13,1,-0.9230769230769231
01NH,3,365,359,-0.01643835616438356
01OK,3,10,1,-0.9
01PN,3,81,153,0.8888888888888888
01PS,3,10,65,5.5
01SC,3,146,1578,9.808219178082192
01TE,3,41,51,0.24390243902439024
01TX,3,441,712,0.6145124716553289
01UT,3,2,0,-1.0
01VA,3,1206,1502,0.24543946932006633
01WI,3,117,112,-0.042735042735042736
02AK,3,430,590,0.37209302325581395
02AL,3,28,174,5.214285714285714
02CD,3,7,443,62.285714285714285
02CL,3,679,365,-0.46244477172312226
02FA,3,353,246,-0.3031161473087819
02FL,3,24,42,0.75
02GA,3,68,552,7.117647058823529
02GE,3,379,1130,1.9815303430079156
02II,3,2784,2005,-0.2798132183908046
02IN,3,462,266,-0.42424242424242425
02KS,3,50,64,0.28
02MD,3,472,307,-0.3495762711864407
02ME,3,1562,868,-0.44430217669654287
02MI,3,184,90,-0.5108695652173914
02MN,3,18,4,-0.7777777777777778
02MO,3,38,31,-0.18421052631578946
02MS,3,2,45,21.5
02MU,3,262,545,1.0801526717557253
02NE,3,186,10,-0.946236559139785
02OH,3,48,31,-0.3541666666666667
02OI,3,12,53,3.4166666666666665
02OR,3,21,41,0.9523809523809523
02PR,3,1457,7371,4.059025394646534
02PS,3,8,31,2.875
02TN,3,8,46,4.75
02TX,3,24,0,-1.0
02VA,3,340,42,-0.8764705882352941
02WA,3,440,793,0.8022727272727272
02WI,3,90,110,0.2222222222222222
02WN,3,2,0,-1.0
02XS,1,29837,24028,-0.19469115527700506
03AZ,3,2,0,-1.0
03CO,3,670,756,0.12835820895522387
03FA,3,338,2616,6.739644970414201
03GA,3,2,0,-1.0
03IA,3,278,10,-0.9640287769784173
03II,3,27,27,0.0
03IL,3,62,97,0.5645161290322581
03IN,3,156,203,0.30128205128205127
03KY,3,425,104,-0.7552941176470588
03MA,3,180,161,-0.10555555555555556
03ME,3,6,40,5.666666666666667
03MN,3,11,26,1.3636363636363635
03MO,3,70,1,-0.9857142857142858
03MU,3,180,258,0.43333333333333335
03NC,3,2,2,0.0
03ND,3,11,11,0.0
03NY,3,4075,4784,0.17398773006134968
03OH,3,89,59,-0.33707865168539325
03OK,3,496,667,0.34475806451612906
03PR,3,20,42,1.1
03PS,3,709,526,-0.25811001410437234
03WA,3,619,1011,0.6332794830371568
03WI,3,13,62,3.769230769230769
03WN,3,1,1,0.0
03XS,3,149,0,-1.0
04AA,3,109,47,-0.5688073394495413
04CA,3,103,71,-0.3106796116504854
04CL,3,878,2232,1.542141230068337
04FA,3,58,154,1.6551724137931034
04FL,3,699,2860,3.091559370529328
04IA,3,130,0,-1.0
04ID,3,534,1123,1.1029962546816479
